user_id,day_of_week,study_importance,sleep_duration_prev_night,hour_of_alarm,snooze_count_last_7_days,snooze_probability,did_snooze
103,Monday,8,7.5,6,1,0.24192585631003874,0
436,Tuesday,8,6.7,7,2,0.3497531441436594,1
349,Tuesday,8,8.5,6,2,0.2202428218767696,0
271,Thursday,6,6.8,7,0,0.47558759209683643,0
107,Monday,6,5.9,8,2,0.5317012290658746,0
72,Friday,7,6.1,7,3,0.6796333063690511,1
189,Sunday,9,6.7,5,0,0.42789995496023936,1
21,Friday,9,7.6,5,2,0.23083707699330397,0
103,Thursday,3,6.6,8,3,0.5240127582899698,0
122,Saturday,5,7.5,7,0,0.7551360714509566,1
467,Friday,4,7.2,8,2,0.40882296171675647,1
215,Monday,8,7.3,5,2,0.37002438780652275,0
331,Wednesday,5,8.0,8,2,0.21168827227704168,0
459,Saturday,6,7.8,7,2,0.4574540688128839,0
88,Wednesday,10,5.5,6,1,0.6301181264464283,0
373,Monday,9,6.1,5,1,0.33135830243313935,1
100,Friday,9,6.1,6,0,0.28999713044688435,0
360,Saturday,5,6.5,7,0,0.328279427454146,0
152,Tuesday,1,7.9,10,0,0.21863076995291067,0
131,Thursday,6,6.5,8,2,0.46271362477366745,1
150,Tuesday,4,6.9,8,0,0.25433377431661275,0
309,Friday,3,7.1,9,0,0.17669499007693437,0
258,Tuesday,9,7.0,6,0,0.10945646720136412,1
344,Tuesday,5,7.1,7,2,0.8830358530478779,1
492,Saturday,5,10.0,7,1,0.40835476651636293,1
414,Wednesday,6,7.5,8,0,0.4030349920960596,0
294,Friday,10,5.6,7,1,0.283917089318817,0
386,Wednesday,6,7.1,7,1,0.208263202290317,0
192,Tuesday,8,6.8,6,0,0.3515411051101433,1
444,Thursday,6,5.0,7,4,0.8523038913917572,1
277,Monday,3,3.8,8,3,0.8977904168019006,1
161,Wednesday,4,6.9,8,1,0.41314098241529484,1
460,Tuesday,6,6.4,7,1,0.4217233499245236,0
314,Friday,7,5.3,6,1,0.5136258988483746,0
22,Sunday,8,6.8,7,1,0.4972898246224951,0
253,Sunday,8,7.1,5,2,0.7015021668011548,0
236,Wednesday,8,6.0,6,4,0.705500428657048,0
345,Tuesday,5,7.0,8,1,0.1487865383938111,0
49,Wednesday,10,6.9,6,2,0.4362233318194096,1
475,Saturday,10,8.4,5,0,0.08420355898733303,0
59,Tuesday,5,8.1,8,2,0.4641904065447355,1
170,Sunday,5,8.2,8,2,0.21951175091465755,0
476,Wednesday,3,5.9,9,3,0.5504865096182312,1
188,Sunday,7,7.6,7,1,0.21692122178229645,0
464,Saturday,7,5.5,7,4,0.6199867146530001,1
271,Saturday,5,6.8,7,2,0.8021904719583931,0
190,Tuesday,7,3.7,8,6,0.960851634063169,1
446,Monday,4,6.3,7,2,0.8961330540672219,1
175,Wednesday,8,6.1,5,0,0.1808382619916046,0
446,Tuesday,5,7.5,7,6,0.9066312582754577,1
51,Monday,7,5.5,7,3,0.6913110362504765,0
364,Thursday,7,6.9,8,1,0.2153465272739833,0
55,Wednesday,3,6.2,9,0,0.3970784786257958,1
244,Thursday,8,6.2,6,2,0.6634397409417246,1
320,Thursday,5,5.8,8,1,0.2699144063675997,0
131,Monday,7,7.1,7,0,0.2668965080853865,0
485,Sunday,4,7.2,10,1,0.30182629253455046,0
307,Tuesday,6,5.6,8,1,0.178301176588795,1
135,Wednesday,7,6.9,8,0,0.09917317193810161,0
21,Thursday,4,7.1,8,0,0.16305788426044301,0
329,Saturday,4,9.2,7,1,0.26103814428333133,1
167,Monday,7,6.0,7,2,0.5569634661974285,1
274,Wednesday,6,6.2,7,0,0.5055081699951578,1
388,Thursday,7,5.2,8,2,0.8420562760291471,1
89,Tuesday,6,6.2,6,4,0.6748703215229201,1
316,Thursday,8,5.4,6,2,0.574967508126856,1
14,Sunday,5,8.7,7,2,0.5558910905839881,1
242,Sunday,8,8.0,6,2,0.7307495446291634,1
265,Monday,5,5.4,6,3,0.7989527658889292,1
346,Tuesday,5,5.5,8,2,0.32900414394643845,0
53,Tuesday,8,6.0,5,1,0.1772186650483936,1
386,Wednesday,5,8.3,7,2,0.17066287693828694,0
340,Tuesday,4,6.0,9,1,0.2542884709695073,1
92,Tuesday,10,6.5,6,1,0.23979121505767337,1
367,Sunday,6,9.2,8,1,0.28875196670860964,0
444,Sunday,7,7.9,8,1,0.42497155493899047,0
455,Monday,2,5.0,10,7,0.9550407303257085,1
428,Wednesday,9,4.5,6,4,0.8173769210567119,1
264,Wednesday,10,6.8,6,2,0.13641721123718317,0
431,Tuesday,9,9.5,6,1,0.12382165652704752,0
35,Thursday,9,8.3,7,1,0.17530748424616574,0
206,Friday,6,7.2,7,0,0.2626993551582104,0
81,Saturday,7,8.3,7,4,0.10613837454569906,0
420,Friday,7,7.7,7,0,0.22195189806715396,0
50,Thursday,5,4.7,7,3,0.7345640417112006,1
360,Friday,6,6.9,8,4,0.4068274672994258,0
388,Tuesday,4,8.3,8,0,0.40072528372425015,0
2,Thursday,6,9.2,8,0,0.10964289745533175,0
390,Thursday,8,7.3,6,1,0.33247682597869016,1
54,Monday,3,5.1,9,2,0.5739244121944692,1
106,Tuesday,8,7.4,6,1,0.27449679058140664,1
260,Tuesday,3,7.4,8,2,0.5924449836905143,0
310,Sunday,7,8.4,8,0,0.05516806532984341,0
477,Tuesday,7,7.2,6,1,0.6257494134621596,0
